Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac	Assim	Resp	Eros
179632	4.17198	3.44862	3.60823	3.55845	3.56448	0.362884	1.7607	-5.87465	2.67975	1.70609	0.210716	-30.0969	0	291.822	282.822	0.000181151	4.76373	3.1291e-05	1.36531e-05	3.26665	4.84034e-06	1.61778e-05	-0.0452827	0.0653014	8.60581	0.014427	0.0143838	4.3165e-05	
179885	4.17158	3.4485	3.60812	3.55833	3.56437	0.362901	1.76078	-5.87293	2.68156	1.70783	0.210723	-30.0948	0	291.821	282.821	0.00018116	4.76347	3.12881e-05	1.36583e-05	3.26846	4.84058e-06	1.61792e-05	-0.0452828	0.0652986	8.6059	0.014427	0.0143838	4.31663e-05	
180137	4.17118	3.44838	3.60801	3.55821	3.56426	0.362919	1.76087	-5.87122	2.68336	1.70957	0.21073	-30.0926	0	291.821	282.821	0.000181169	4.7632	3.12851e-05	1.36634e-05	3.27028	4.84083e-06	1.61805e-05	-0.0452836	0.0652958	8.60599	0.014427	0.0143838	4.31676e-05	
180390	4.17078	3.44826	3.6079	3.55809	3.56415	0.362937	1.76096	-5.8695	2.68516	1.71131	0.210737	-30.0905	0	291.82	282.82	0.000181178	4.76293	3.12822e-05	1.36685e-05	3.27209	4.84107e-06	1.61818e-05	-0.0452838	0.065293	8.60609	0.014427	0.0143838	4.31688e-05	
180643	4.17038	3.44814	3.60779	3.55798	3.56404	0.362954	1.76105	-5.86779	2.68696	1.71305	0.210744	-30.0884	0	291.819	282.819	0.000181187	4.76266	3.12793e-05	1.36737e-05	3.2739	4.84132e-06	1.61832e-05	-0.0452844	0.0652902	8.60618	0.014427	0.0143838	4.31701e-05	
180896	4.16998	3.44801	3.60768	3.55786	3.56393	0.362972	1.76113	-5.86608	2.68876	1.71478	0.210751	-30.0863	0	291.818	282.818	0.000181196	4.7624	3.12763e-05	1.36788e-05	3.2757	4.84156e-06	1.61845e-05	-0.0452848	0.0652874	8.60627	0.014427	0.0143838	4.31714e-05	
181148	4.16958	3.44789	3.60757	3.55774	3.56382	0.362989	1.76122	-5.86437	2.69055	1.71651	0.210758	-30.0842	0	291.817	282.817	0.000181204	4.76213	3.12734e-05	1.36839e-05	3.27751	4.84181e-06	1.61858e-05	-0.0452854	0.0652846	8.60636	0.014427	0.0143838	4.31727e-05	
181401	4.16918	3.44777	3.60746	3.55762	3.56371	0.363007	1.7613	-5.86267	2.69234	1.71824	0.210765	-30.0821	0	291.816	282.816	0.000181213	4.76186	3.12705e-05	1.3689e-05	3.27931	4.84205e-06	1.61871e-05	-0.0452857	0.0652818	8.60645	0.014427	0.0143838	4.31739e-05	
181654	4.16878	3.44765	3.60735	3.5575	3.5636	0.363024	1.76139	-5.86097	2.69413	1.71997	0.210772	-30.08	0	291.816	282.816	0.000181222	4.7616	3.12675e-05	1.3694e-05	3.2811	4.84229e-06	1.61884e-05	-0.0452859	0.0652791	8.60655	0.014427	0.0143838	4.31752e-05	
181906	4.16839	3.44753	3.60724	3.55738	3.56349	0.363041	1.76147	-5.85927	2.69591	1.72169	0.210779	-30.0779	0	291.815	282.815	0.00018123	4.76133	3.12646e-05	1.36991e-05	3.2829	4.84253e-06	1.61898e-05	-0.0452868	0.0652763	8.60664	0.014427	0.0143838	4.31765e-05	
